B00005N9D3,Koss UR-20 Home Headphones,4.80,8.80,11.90,0.90,16.79,0,502.656000,0,0
B00005Y3OM,Nikon 70-300 mm f/4-5.6G Zoom Lens with Auto Focus for Nikon DSLR Cameras,4.60,2.90,2.90,0.94,169.95,1,38.686000,1,0
B000065BPB,Sennheiser HD 280 Pro Headphones,7.00,4.00,8.00,1.00,99.95,2,224.000000,2,0
B000067RC5,Pro Series 12ft Telephone Handset Cord,9.00,5.00,2.00,0.20,3.99,0,90.000000,0,0
B00006B8CH,StarTech.com 300 Watt ATX Replacement Computer PC Power Supply ATX 300 ATXPOWER300,5.90,3.40,5.90,4.20,35.99,2,118.354000,2,0
B00006B8DX,StarTech.com 1.5g Metal Oxide Thermal CPU Paste Compound Tube for Heatsink Cooling SILVGREASE1 (Silver),3.20,1.00,6.00,0.02,3.72,2,19.200000,2,0
B00006I53S,Canon 2562A002 EF 28-135mm f/3.5-5.6 IS USM Standard Zoom Lens for Canon SLR Cameras,3.80,3.10,3.10,1.20,399.95,0,36.518000,0,0
B00006I53W,Canon EF 70-200mm f/2.8L USM Telephoto Zoom Lens for Canon SLR Cameras,7.60,3.40,3.40,2.90,1299.00,1,87.856000,1,0
B00006I5XC,TRENDnet TW100-S4W1CA (Version G1.0R) 4-Port Broadband Router,6.00,4.30,1.30,0.50,16.95,0,33.540000,0,0
B00006I601,XITEL HiFi-Link For PC and Mac,9.10,8.10,3.10,1.70,53.16,0,228.501000,0,0
B00006IBOU,"Crayola 240 Ct Colored Pencil Classpack, 12 Assorted Colors (68-8024)",15.00,10.00,1.80,3.40,38.78,1,270.000000,1,0
B00006IDOY,"Pacon Riverside Construction Paper, 9-Inches by 12-Inches, 50-Count, Black (103607)",12.00,9.00,1.00,0.92,2.99,2,108.000000,2,0
B00006IEFN,Crayola 24ct Watercolor Colored Pencils,1.00,3.60,8.40,0.36,8.39,0,30.240000,0,0
B00006IEFP,"Crayola; Oil Pastels; Art Tools; 28 ct; Bright, Bold Opaque Colors; Jumbo Size; Hexagonal Shape",1.00,7.00,7.40,0.65,4.09,1,51.800000,1,0
B00006IFJ7,"Crayola; Classpack; Ultra-Clean Broad Line Markers; Art Tools; 200 Markers in 8 Different Colors; Bright, Bold and Washable",3.10,12.10,16.90,6.30,52.39,0,633.919000,0,0
B00006JILE,Koss UR40 Collapsible Over-Ear Headphones,11.00,7.80,4.00,0.93,34.79,1,343.200000,1,0
B00006RH5I,Celestron Accessory Kit,13.20,11.70,5.70,0.50,138.89,3,880.308000,3,0
B000077CF8,HP 645A (C9731A) Cyan Original LaserJet Toner Cartridge,19.80,10.40,6.30,6.00,251.48,0,1297.296000,0,0
B000078WG6,XITELPro HiFi-Link,8.20,4.80,9.20,5.20,99.99,0,362.112000,0,0
B00007E7JU,Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),1.60,2.70,2.70,0.29,125.00,1,11.664000,1,0
B00007GQLU,Canon EF 85mm f/1.8 USM Medium Telephoto Lens for Canon SLR Cameras - Fixed,2.80,3.00,3.00,0.94,369.00,2,25.200000,2,0
